CustomerID,first_purchase,last_purchase,invoice_count,total_units,total_revenue,avg_line_revenue,country,recency_days,customer_lifespan_days,repeat_customer_flag,high_value_flag
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,74215,77183.6,77183.6,United Kingdom,326,0,0,1
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,7,2458,4310.0,23.681318681318682,Iceland,2,365,1,1
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,4,2341,1797.24,57.97548387096774,Finland,75,282,1,1
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,631,1757.55,24.076027397260273,Italy,19,0,0,1
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,197,334.4,19.670588235294115,Norway,310,0,0,0
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,8,536,2506.04,29.482823529411764,Norway,36,260,1,1
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,20,89.0,22.25,Bahrain,204,0,0,0
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,1079.4,18.610344827586207,Spain,232,0,0,0
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,240,459.4,35.33846153846154,Bahrain,214,0,0,0
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,3,1591,2811.43,47.65135593220339,Portugal,23,302,1,1
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,2708,6207.67,47.38679389312977,Switzerland,33,0,0,1
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,2,248,1168.06,61.47684210526315,Austria,2,149,1,0
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,4,1609,6310.03,25.755224489795918,Cyprus,58,274,1,1
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,3,1165,2662.06,20.63612403100775,Austria,52,148,1,1
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,91,189.9,18.990000000000002,Belgium,287,0,0,0
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,2229,5226.2300000000005,19.64748120300752,Belgium,3,292,1,1
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,408,552.0,24.0,Unspecified,110,132,1,0
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1506,1313.1,15.448235294117646,Belgium,8,104,1,0
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,174,641.38,29.153636363636362,Cyprus,291,0,1,0
