CustomerID,Country,orders,total_revenue,avg_line_revenue
14646,Netherlands,73,280206.02,134.97
18102,"United Kingdom",60,259657.3,602.45
17450,"United Kingdom",46,194390.79,578.54
16446,"United Kingdom",2,168472.5,56157.5
14911,EIRE,201,143711.17,25.35
12415,Australia,21,124914.53,174.95
14156,EIRE,55,117210.08,84.02
17511,"United Kingdom",31,91062.38,94.56
16029,"United Kingdom",63,80850.84,335.48
12346,"United Kingdom",1,77183.6,77183.6
16684,"United Kingdom",28,66653.56,240.63
14096,"United Kingdom",17,65164.79,12.75
13694,"United Kingdom",50,65039.62,114.51
15311,"United Kingdom",91,60632.75,25.63
13089,"United Kingdom",97,58762.08,32.39
17949,"United Kingdom",45,58510.48,835.86
15769,"United Kingdom",26,56252.72,432.71
15061,"United Kingdom",48,54534.14,135.32
14298,"United Kingdom",44,51527.3,31.48
14088,"United Kingdom",13,50491.81,85.72
